qid,question,definition,ambiguous,candidate_answer,candidate_unit,source_page,evidence_anchors,company,fiscal_year,verdict,corrected_answer,corrected_unit,notes,precheck,page_excerpt,source_note,also_on_pages
FI21afe6f5,"For Sun Pharmaceutical Industries Limited, as reported for the year ended March 31, 2024, what were interest income (interest income as reported in the standalone financial statements)?",interest income as reported in the standalone financial statements,no,2685.0,INR million,201,p201: Interest income | 2685.0,Sun Pharmaceutical Industries Limited,2023-24,rejected,,,"Incorrect Source Table: The prompt asks for ""interest income"" as reported in the standalone financial statements, which typically refers to the dedicated line item on the face of the Standalone Statement of Profit and Loss (usually under ""Other Income"") or the specific note detailing total interest income.Metric Mismatch / Factual Error: The candidate extracted the figure 2,685.0 from a note regarding ""Ind AS- 24 - RELATED PARTY DISCLOSURES"". The ""Interest income"" line within a related party disclosure table only captures interest received or accrued from related entities (like subsidiaries or joint ventures), not the company's total interest income from all sources.Conclusion: Because the candidate pulled a specific, partial subset of interest income from a disclosures note rather than the total standalone interest income from the Statement of Profit and Loss, the answer does not satisfy the requirements of the prompt and is therefore wrong.",on_cited_page,"Interest income  //  2,685.0","row 'Interest income', column 'March 31, 2024' (p.201, Ind AS- 24 - “RELATED PARTY DISCLOSURES”, table 2, column 'March 31, 2024')",
FI223250a2,"For Tata Motors Limited, as reported for the year ended March 31, 2024, what were total income (total income as reported in the consolidated financial statements)?",total income as reported in the consolidated financial statements,no,443877.69,INR crore,281,p281: Total income (I+II) | 443877.69,Tata Motors Limited,2023-24,validated,,,,on_cited_page,"Total income (I+II)  //  443,877.69","row 'Total income (I+II)', column 'March 31, 2024' (p.281, FINANCIALS, table 1, column 'March 31, 2024')",
FI19b399ca,"For HDFC Bank Limited, as reported for the year ended March 31, 2023, what were investments (the 'Investments' line item as reported on the consolidated balance sheet)?",the 'Investments' line item as reported on the consolidated balance sheet,no,511581.71,crore,412,p412: Investments | 511581.71,HDFC Bank Limited,2023-24,validated,,,,on_cited_page,"Investments  //  511,581.71","row 'Investments', column 'C C in crore' (p.412, Company Secretary, table 0, column 'C C in crore')",
FI09d3cac6,"For Infosys Limited, as reported for the year ended March 31, 2024, what were investments (the 'Investments' line item as reported on the consolidated balance sheet)?",the 'Investments' line item as reported on the consolidated balance sheet,no,11708,INR crore,11,p11: Investments | 11708,Infosys Limited,2023-24,rejected,,,"Incomplete Metric: The question explicitly asks for the ""Investments"" line item as reported on the consolidated balance sheet. Under the standard Ind AS presentation used by Infosys, ""Investments"" appears as two separate line items under Financial Assets: one under Non-current assets and another under Current assets.Factual Error: The candidate extracted only the figure for Non-current investments (11,708 INR crore). It failed to include or sum the Current investments (which were 9,569 INR crore for the same period).Conclusion: Because the candidate extracted only a partial subset rather than the total consolidated investments (₹21,277 crore), the answer does not satisfy the specific requirements of the prompt. Therefore, the answer is wrong.",on_cited_page,"Investments  //  11,708","row 'Investments', column '2024' (p.11, Consolidated Balance Sheet, table 0, column '2024')",
FI158627a7,"For Reliance Industries Limited, as reported for the year ended March 31, 2023, what were current tax (current tax as reported in the consolidated financial statements)?",current tax as reported in the consolidated financial statements,no,8398,crore,111,p111: Current Tax | 8398,Reliance Industries Limited,2023-24,,,,,on_cited_page,"Current Tax  //  8,398","row 'Current Tax', column '(C in crore) 2022-23' (p.111, Managing Director, table 2, column '(C in crore) 2022-23')",
FI245411f4,"For Sun Pharmaceutical Industries Limited, as reported for the year ended March 31, 2024, what were retained earnings (retained earnings as reported in the standalone financial statements)?",retained earnings as reported in the standalone financial statements,no,127310.4,INR million,169,p169: Retained earnings | 127310.4,Sun Pharmaceutical Industries Limited,2023-24,validated,,,,on_cited_page,"Retained earnings  //  127,310.4","row 'Retained earnings', column 'March 31, 2024' (p.169, NOTE: 21 OTHER EQUITY, table 1, column 'March 31, 2024')",
FI2b25dee2,"For Tata Motors Limited, as reported for the year ended March 31, 2024, what were trade receivables (trade receivables as reported in the consolidated financial statements)?",trade receivables as reported in the consolidated financial statements,no,-1150.69,INR crore,282,p282: Trade receivables | -1150.69 ;; p322: Trade receivables | 125.85,Tata Motors Limited,2023-24,rejected,,,"Metric Mismatch: The prompt asks for ""trade receivables"" as reported in the consolidated financial statements, which conventionally refers to the asset balance reported on the face of the Consolidated Balance Sheet.Incorrect Financial Statement: The candidate extracted a negative figure, -1150.69 INR crore (shown as (1,150.69) in the filing). An asset balance like trade receivables is normally a positive number. This specific negative figure represents the change in trade receivables (an outflow/increase in receivables) found on the Consolidated Statement of Cash Flows under working capital adjustments, not the actual ending balance of the asset.Factual Error: The true balance of consolidated trade receivables for Tata Motors is a substantially larger, positive figure (usually split between current and non-current financial assets on the balance sheet).Conclusion: Because the candidate extracted a cash flow movement instead of the actual balance sheet asset, the answer does not satisfy the requirements of the prompt and is wrong.",on_cited_page,"Trade receivables  //  (1,150.69)","row 'Trade receivables', column '' (p.282, 79th Integrated Annual Report, table 0)",
FI1a3114db,"For HDFC Bank Limited, as reported for the year ended March 31, 2024, what were diluted earnings per share (diluted earnings per share as reported in the consolidated financial statements)?",diluted earnings per share as reported in the consolidated financial statements,no,90.01,,477,p477: Diluted earnings per share (`) | 90.01,HDFC Bank Limited,2023-24,rejected,,,"Metric Mismatch (Standalone vs. Consolidated): The prompt explicitly asks for ""diluted earnings per share"" as reported in the consolidated financial statements.Factual Error: The candidate extracted the figure 90.01. Just like the basic EPS example from the same page, this represents the diluted earnings per share from HDFC Bank Limited's standalone Statement of Profit and Loss for the year ended March 31, 2024.Consolidated Figure: The actual consolidated diluted earnings per share for this period is higher (as it includes the earnings contribution from the bank's subsidiaries).Conclusion: Because the candidate extracted the standalone EPS rather than navigating further into the annual report to find the requested consolidated metric, the candidate failed to satisfy the specific requirements of the prompt. Therefore, the answer is wrong.",on_cited_page,Diluted earnings per share (`)  //  90.01,"row 'Diluted earnings per share (`)', column 'March 31, 2024' (p.477, Financial Statements, table 1, column 'March 31, 2024')",
FI0fa2b288,"For Infosys Limited, as reported for the year ended March 31, 2023, what were non-controlling interests (non-controlling interests as reported in the consolidated financial statements)?",non-controlling interests as reported in the consolidated financial statements,no,388,INR crore,12,p12: Non-controlling interests | 388,Infosys Limited,2023-24,validated,,,,on_cited_page,Non-controlling interests  //  388,"row 'Non-controlling interests', column '2023' (p.12, Consolidated Balance Sheet (contd.), table 0, column '2023')",
FI16506c4c,"For Reliance Industries Limited, as reported for the year ended March 31, 2023, what were profit before tax (profit before tax as reported in the consolidated financial statements)?",profit before tax as reported in the consolidated financial statements,no,94046,crore,111,p111: Profit Before Tax | 94046,Reliance Industries Limited,2023-24,,,,,on_cited_page,"Profit Before Tax  //  94,046","row 'Profit Before Tax', column '(C in crore) 2022-23' (p.111, Managing Director, table 2, column '(C in crore) 2022-23')",
FI2724de93,"For Sun Pharmaceutical Industries Limited, as reported for the year ended March 31, 2023, what were revenue from contracts with customers (revenue from contracts with customers as reported in the consolidated financial statements)?",revenue from contracts with customers as reported in the consolidated financial statements,no,432788.7,INR million,272,p272: Revenue from contracts with customers | 432788.7,Sun Pharmaceutical Industries Limited,2023-24,validated,,,,on_cited_page,"Revenue from contracts with customers  //  432,788.7","row 'Revenue from contracts with customers', column 'March 31, 2023' (p.272, Sun Pharmaceutical Industries Limited   |   Annual Report 2023-24, table 1, column 'March 31, 2023')",
FI2fb8c4d5,"For Tata Motors Limited, in the 2023-24 consolidated financial statements, what was return on assets?",,yes,,,281,p281: Profit for the year (IX-X) | 31806.75 ;; p280: TOTAL ASSETS | 370663.96,Tata Motors Limited,2023-24,validated,8.58,percent,"While some strict financial analyses use average total assets across two periods, single-year extraction tasks typically rely on the year-end total assets unless specified otherwise || validator's working, verbatim: Metric: Return on Assets (derived metric).Formula: Return on Assets (ROA) is standardly calculated as (Profit for the year / Total Assets) * 100. (Note: While some strict financial analyses use average total assets across two periods, single-year extraction tasks typically rely on the year-end total assets unless specified otherwise).Extraction: According to Tata Motors Limited's Consolidated Financial Statements for the year ended March 31, 2024:Profit for the year = ₹31,806.75 crore  Total Assets = ₹3,70,664 crore  Calculation: (31,806.75 / 3,70,664) * 100 = 8.581%Conclusion: The derived return on assets is 8.58%.",no_candidate,,,
FI2507d054,"For HDFC Bank Limited, in the 2023-24 consolidated financial statements, what was return on assets?",,yes,,,471,p471: Net profit (5)-(6)-(7) | 65446.50 ;; p471: Total assets (9)+(10) | 4030194.26,HDFC Bank Limited,2023-24,validated,1.59,percent,"While strict financial analyses often use average total assets across two periods, single-year extraction tasks typically rely on the year-end total assets unless specified otherwise || validator's working, verbatim: Metric: Return on Assets (derived metric).Formula: Return on Assets (ROA) is standardly calculated as (Profit for the year / Total Assets) * 100. (Note: While strict financial analyses often use average total assets across two periods, single-year extraction tasks typically rely on the year-end total assets unless specified otherwise).Extraction: According to HDFC Bank Limited's Consolidated Financial Statements for the year ended March 31, 2024:Profit for the year (Consolidated PAT) = ₹64,060 crore  Total Assets = ₹40,30,194.26 croreCalculation: (64,060 / 4,030,194.26) * 100 = 1.589%Conclusion: The derived return on assets is 1.59%.",no_candidate,,,
FI1151ddcb,"For Infosys Limited, as reported for the year ended March 31, 2023, what were other equity (other equity as reported in the consolidated financial statements)?",other equity as reported in the consolidated financial statements,no,73338,INR crore,12,p12: Other equity | 73338,Infosys Limited,2023-24,validated,,,,on_cited_page,"Other equity  //  73,338","row 'Other equity', column '2023' (p.12, Consolidated Balance Sheet (contd.), table 0, column '2023')",
FI2e8fcfb7,"For Reliance Industries Limited, as reported for the year ended March 31, 2024, what were other equity (other equity as reported in the consolidated financial statements)?",other equity as reported in the consolidated financial statements,no,786715,crore,110,p110: Other Equity | 786715,Reliance Industries Limited,2023-24,rejected,,,"Incorrect Source Table: The prompt explicitly asks for ""other equity"" as reported in the consolidated financial statements, which requires sourcing the data from the face of the official Consolidated Balance Sheet (typically found much later in the annual report, in the audited financials section).Factual Accuracy vs. Source Constraint: While the extracted figure (7,86,715 crore) is indeed the numerically correct value for RIL's consolidated other equity for FY24, the candidate extracted it from a summary table in the ""Managing Director"" section (page 110).Conclusion: In strict financial extraction tasks, relying on MD&A, executive summaries, or performance highlights is a known pitfall because these sections often present non-GAAP metrics, rounded figures, or unconsolidated snapshots. Because the extraction engine failed to navigate to the actual audited consolidated financial statements, the candidate failed to satisfy the strict source constraint of the prompt. Therefore, the answer is wrong.",on_cited_page,"Other Equity  //  7,86,715","row 'Other Equity', column '31st March, 2024' (p.110, Managing Director, table 0, column '31st March, 2024')",
FI2959dfaf,"For Sun Pharmaceutical Industries Limited, in the 2023-24 consolidated financial statements, what was goodwill as a share of total assets (goodwill divided by total assets, expressed as a percentage)?","goodwill divided by total assets, expressed as a percentage",no,,,285,p285: Goodwill | 1186.8 ;; p214: TOTAL ASSETS | 854628.8,Sun Pharmaceutical Industries Limited,2023-24,validated,10.06,percent,"validator's working, verbatim: Metric: Goodwill as a share of total assets (derived metric).Formula: This metric is calculated as (Goodwill / Total Assets) * 100.Extraction: According to Sun Pharmaceutical Industries Limited's Consolidated Balance Sheet for the fiscal year ended March 31, 2024:Goodwill = ₹85,989.5 millionTotal Assets = ₹854,628.8 millionCalculation: (85,989.5 / 854,628.8) * 100 = 10.0616%Conclusion: The derived goodwill as a share of total assets is 10.06%.",no_candidate,,,
FI45bab3c4,"For Tata Motors Limited, as reported for the year ended March 31, 2023, what were profit before tax (profit before tax as reported in the consolidated financial statements)?",profit before tax as reported in the consolidated financial statements,no,3393.93,INR crore,281,p281: Profit before tax (VII-VIII) | 3393.93,Tata Motors Limited,2023-24,validated,,,,on_cited_page,"Profit before tax (VII-VIII)  //  3,393.93","row 'Profit before tax (VII-VIII)', column '(₹ in crores)' (p.281, FINANCIALS, table 1, column '(₹ in crores)')",
FI35d1533d,"For HDFC Bank Limited, as reported for the year ended March 31, 2024, what were total assets (total assets as reported in the standalone financial statements)?",total assets as reported in the standalone financial statements,no,75579.83,crore,332,p332: Total Assets | 75579.83,HDFC Bank Limited,2023-24,rejected,,,"Incorrect Source Table: The prompt explicitly asks for ""total assets"" as reported in the standalone financial statements, which refers to the bottom-line total on the face of the Standalone Balance Sheet. The candidate extracted the figure from a table related to a ""Resolution Plan"" (often a disclosure note detailing specific restructured loans or stressed assets under RBI guidelines).Factual Error / Absurd Scale: The extracted figure is 75,579.83 crore. For a financial institution of HDFC Bank's size (especially for the year ended March 31, 2024, post-merger with HDFC Ltd.), total standalone assets are massive—exceeding ₹36,00,000 crore. The 75,579.83 figure represents merely a specific sub-portfolio of assets undergoing resolution, not the bank's total asset base.Conclusion: Because the candidate pulled a highly specific, partial subset of assets from a disclosure note rather than the actual total assets from the standalone balance sheet, the answer does not satisfy the requirements of the prompt and is therefore wrong.",on_cited_page,"Total Assets  //  75,579.83","row 'Total Assets', column 'March 31, 2024' (p.332, Resolution Plan, table 0, column 'March 31, 2024')",
FI11c1e6a6,"For Infosys Limited, as reported for the year ended March 31, 2023, what were interest income (interest income as reported in the consolidated financial statements)?",interest income as reported in the consolidated financial statements,no,105,INR crore,63,p63: Interest income | 105 ;; p63: Interest income | 4,Infosys Limited,2023-24,rejected,,,"Incorrect Source Table: The prompt asks for ""interest income"" as reported in the consolidated financial statements, which refers to the total interest income for the company (typically found under ""Other Income"" on the face of the Consolidated Statement of Profit and Loss or its supporting note). The candidate extracted the figure 105 from a note detailing ""Gratuity and pension"".Metric Mismatch / Factual Error: The extracted figure represents the expected interest income generated specifically on the company's gratuity and pension plan assets, not the total corporate interest income earned on the company's overall financial assets and cash equivalents (which for Infosys in FY23 was significantly higher, exceeding ₹2,000 crore).Conclusion: Because the candidate pulled a highly specific, partial subset of interest income from an employee benefits disclosure note rather than the total interest income from the consolidated financials, the answer does not satisfy the requirements of the prompt and is therefore wrong.",on_cited_page,Interest income  //  105,"row 'Interest income', column '' (p.63, 2.22.1 Gratuity and pension, table 0)",
FI4228eda7,"For Reliance Industries Limited, as reported for the year ended March 31, 2024, what were other expenses (other expenses as reported in the consolidated financial statements)?",other expenses as reported in the consolidated financial statements,no,127809,crore,111,p111: Other Expenses | 127809,Reliance Industries Limited,2023-24,validated,,,,on_cited_page,"Other Expenses  //  1,27,809","row 'Other Expenses', column '2023-24' (p.111, Managing Director, table 2, column '2023-24')",
FI344372a0,"For Sun Pharmaceutical Industries Limited, as reported for the year ended March 31, 2023, what were lease liabilities (lease liabilities as reported in the standalone financial statements)?",lease liabilities as reported in the standalone financial statements,no,1981.5,INR million,182,p182: Lease liabilities | 1981.5,Sun Pharmaceutical Industries Limited,2023-24,rejected,,,"Incomplete Metric: The question explicitly asks for ""lease liabilities"" as reported in the standalone financial statements. Under standard Ind AS presentation, lease liabilities appear as two separate line items on the balance sheet: one under ""Non-current financial liabilities"" and another under ""Current financial liabilities.""Factual Error: The candidate extracted only the figure for Non-current lease liabilities (1,981.5 INR million). It failed to include or sum the Current lease liabilities (which were reported separately for the same period).Conclusion: Because the candidate extracted only a partial subset rather than the total standalone lease liabilities, the answer does not satisfy the specific requirements of the prompt. Therefore, the answer is wrong.",on_cited_page,"Lease liabilities  //  1,981.5","row 'Lease liabilities', column 'March 31, 2023' (p.182, Sun Pharmaceutical Industries Limited   |   Annual Report 2023-24, table 1, column 'March 31, 2023')",
FI45ca118c,"For Tata Motors Limited, as reported for the year ended March 31, 2024, what were total expenses (total expenses as reported in the consolidated financial statements)?",total expenses as reported in the consolidated financial statements,no,415645.32,INR crore,281,p281: Total expenses (IV) | 415645.32,Tata Motors Limited,2023-24,validated,,,,on_cited_page,"Total expenses (IV)  //  415,645.32","row 'Total expenses (IV)', column '' (p.281, FINANCIALS, table 1)",
FI364a7d50,"For HDFC Bank Limited, as reported for the year ended March 31, 2024, what were advances (the 'Advances' line item as reported on the consolidated balance sheet)?",the 'Advances' line item as reported on the consolidated balance sheet,no,2565891.41,crore,412,p412: Advances | 2565891.41,HDFC Bank Limited,2023-24,validated,,,,on_cited_page,"Advances  //  2,565,891.41","row 'Advances', column '' (p.412, Company Secretary, table 0)",
FI12c638b5,"For Infosys Limited, as reported for the year ended March 31, 2023, what were employee benefit expenses (employee benefit expenses as reported in the consolidated financial statements)?",employee benefit expenses as reported in the consolidated financial statements,no,78359,INR crore,13,p13: Employee benefit expenses | 78359,Infosys Limited,2023-24,validated,,,,on_cited_page,"Employee benefit expenses  //  78,359","row 'Employee benefit expenses', column None (p.13, Consolidated Statement of Profit and Loss, table 0)",
FI4892a4dc,"For Reliance Industries Limited, as reported for the year ended March 31, 2024, what were investments (the 'Investments' line item as reported on the consolidated balance sheet)?",the 'Investments' line item as reported on the consolidated balance sheet,no,119502,crore,110,p110: Investments | 119502,Reliance Industries Limited,2023-24,rejected,,,"Incorrect Source Table: The prompt explicitly asks for the 'Investments' line item as reported on the consolidated balance sheet. Consistent with previous errors on this page, the candidate extracted the figure from a summary table in the ""Managing Director"" section (page 110) rather than navigating to the official audited financial statements.Incomplete Metric: Under Ind AS presentation, investments on the balance sheet are reported as two separate line items: Non-current financial assets and Current financial assets. The extracted figure (1,19,502 crore) corresponds only to RIL's Non-current investments. It completely omits the Current investments (which were ₹1,60,832 crore for the same period).Conclusion: Because the candidate pulled a partial subset of the metric from a front-matter summary table rather than aggregating the total consolidated investments from the actual balance sheet, the answer does not satisfy the strict requirements of the prompt and is therefore wrong.",on_cited_page,"Investments  //  1,19,502","row 'Investments', column '' (p.110, Managing Director, table 0)",
FI59a5f355,"For Sun Pharmaceutical Industries Limited, as reported for the year ended March 31, 2024, what were finance cost (finance cost as reported in the standalone financial statements)?",finance cost as reported in the standalone financial statements,no,7622.0,INR million,201,p201: Interest expense | 7622.0,Sun Pharmaceutical Industries Limited,2023-24,rejected,,,"Incorrect Source Table: The prompt explicitly asks for ""finance cost"" as reported in the standalone financial statements, which requires extracting the total finance cost line item from the face of the Standalone Statement of Profit and Loss (or its dedicated supporting note). The candidate extracted a figure from the ""Related Party Disclosures"" note.Incomplete Metric / Factual Error: The extracted figure (7,622.0 INR million) represents only the interest expense incurred specifically on transactions with related parties (e.g., subsidiaries or joint ventures). It does not represent the company's total standalone finance cost, which would include all interest expenses (e.g., to banks, third-party lenders, lease liabilities, etc.).Conclusion: Because the candidate pulled a highly specific, partial subset of interest expense from a disclosure note rather than the total finance cost from the standalone P&L, the answer does not satisfy the requirements of the prompt and is therefore wrong.",on_cited_page,"Interest expense  //  7,622.0","row 'Interest expense', column 'March 31, 2024' (p.201, Ind AS- 24 - “RELATED PARTY DISCLOSURES”, table 2, column 'March 31, 2024')",
